#LOINC	Common Name	Component	Property	Time	System	Scale	Method
94306-8	SARS-CoV-2 (COVID19) RNA panel - Unspecified specimen by NAA with probe detection	SARS coronavirus 2 RNA panel	-	Pt	XXX	-	Probe.amp.tar
94307-6	SARS-CoV-2 (COVID19) N gene [Presence] in Unspecified specimen by Nucleic acid amplification using CDC primer-probe set N1	SARS coronavirus 2 N gene	PrThr	Pt	XXX	Ord	Probe.amp.tar.CDC primer-probe set N1
94308-4	SARS-CoV-2 (COVID19) N gene [Presence] in Unspecified specimen by Nucleic acid amplification using CDC primer-probe set N2	SARS coronavirus 2 N gene	PrThr	Pt	XXX	Ord	Probe.amp.tar.CDC primer-probe set N2
94309-2	SARS-CoV-2 (COVID19) RNA [Presence] in Unspecified specimen by NAA with probe detection	SARS coronavirus 2 RNA	PrThr	Pt	XXX	Ord	Probe.amp.tar
94310-0	SARS-like coronavirus N gene [Presence] in Unspecified specimen by NAA with probe detection	SARS-like coronavirus N gene	PrThr	Pt	XXX	Ord	Probe.amp.tar
94311-8	SARS-CoV-2 (COVID19) N gene [Cycle Threshold #] in Unspecified specimen by Nucleic acid amplification using CDC primer-probe set N1	SARS coronavirus 2 N gene	ThreshNum	Pt	XXX	Qn	Probe.amp.tar.CDC primer-probe set N1
94312-6	SARS-CoV-2 (COVID19) N gene [Cycle Threshold #] in Unspecified specimen by Nucleic acid amplification using CDC primer-probe set N2	SARS coronavirus 2 N gene	ThreshNum	Pt	XXX	Qn	Probe.amp.tar.CDC primer-probe set N2
94313-4	SARS-like coronavirus N gene [Cycle Threshold #] in Unspecified specimen by NAA with probe detection	SARS-like coronavirus N gene	ThreshNum	Pt	XXX	Qn	Probe.amp.tar
94314-2	SARS-CoV-2 (COVID19) RdRp gene [Presence] in Unspecified specimen by NAA with probe detection	SARS coronavirus 2 RdRp gene	PrThr	Pt	XXX	Ord	Probe.amp.tar
94315-9	SARS-CoV-2 (COVID19) E gene [Presence] in Unspecified specimen by NAA with probe detection	SARS coronavirus 2 E gene	PrThr	Pt	XXX	Ord	Probe.amp.tar
94316-7	SARS-CoV-2 (COVID19) N gene [Presence] in Unspecified specimen by NAA with probe detection	SARS coronavirus 2 N gene	PrThr	Pt	XXX	Ord	Probe.amp.tar
94500-6	SARS-CoV-2 (COVID19) RNA [Presence] in Respiratory specimen by NAA with probe detection	SARS coronavirus 2 RNA	PrThr	Pt	Respiratory	Ord	Probe.amp.tar
94502-2	SARS-related coronavirus RNA [Presence] in Respiratory specimen by NAA with probe detection	SARS-related coronavirus RNA	PrThr	Pt	Respiratory	Ord	Probe.amp.tar
94503-0	"SARS-CoV-2 (COVID19) Ab panel - Serum, Plasma or Blood by Rapid immunoassay"	SARS coronavirus 2 Ab panel	-	Pt	Ser/Plas/Bld	-	IA.rapid
94504-8	SARS-CoV-2 (COVID19) Ab panel - Serum or Plasma by Immunoassay	SARS coronavirus 2 Ab panel	-	Pt	Ser/Plas	-	IA
94505-5	SARS-CoV-2 (COVID19) IgG Ab [Units/volume] in Serum or Plasma by Immunoassay	SARS coronavirus 2 Ab.IgG	ACnc	Pt	Ser/Plas	Qn	IA
94506-3	SARS-CoV-2 (COVID19) IgM Ab [Units/volume] in Serum or Plasma by Immunoassay	SARS coronavirus 2 Ab.IgM	ACnc	Pt	Ser/Plas	Qn	IA
94507-1	"SARS-CoV-2 (COVID19) IgG Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay"	SARS coronavirus 2 Ab.IgG	PrThr	Pt	Ser/Plas/Bld	Ord	IA.rapid
94508-9	"SARS-CoV-2 (COVID19) IgM Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay"	SARS coronavirus 2 Ab.IgM	PrThr	Pt	Ser/Plas/Bld	Ord	IA.rapid
94509-7	SARS-CoV-2 (COVID19) E gene [Cycle Threshold #] in Unspecified specimen by NAA with probe detection	SARS coronavirus 2 E gene	ThreshNum	Pt	XXX	Qn	Probe.amp.tar
94510-5	SARS-CoV-2 (COVID19) N gene [Cycle Threshold #] in Unspecified specimen by NAA with probe detection	SARS coronavirus 2 N gene	ThreshNum	Pt	XXX	Qn	Probe.amp.tar
94511-3	SARS-CoV-2 (COVID19) ORF1ab region [Cycle Threshold #] in Unspecified specimen by NAA with probe detection	SARS coronavirus 2 ORF1ab region	ThreshNum	Pt	XXX	Qn	Probe.amp.tar
94531-1	SARS-CoV-2 (COVID19) RNA panel - Respiratory specimen by NAA with probe detection	SARS coronavirus 2 RNA panel	-	Pt	Respiratory	-	Probe.amp.tar
94532-9	SARS-related coronavirus+MERS coronavirus RNA [Presence] in Respiratory specimen by NAA with probe detection	SARS-related coronavirus+MERS coronavirus RNA	PrThr	Pt	Respiratory	Ord	Probe.amp.tar
94533-7	SARS-CoV-2 (COVID19) N gene [Presence] in Respiratory specimen by NAA with probe detection	SARS coronavirus 2 N gene	PrThr	Pt	Respiratory	Ord	Probe.amp.tar
94534-5	SARS-CoV-2 (COVID19) RdRp gene [Presence] in Respiratory specimen by NAA with probe detection	SARS coronavirus 2 RdRp gene	PrThr	Pt	Respiratory	Ord	Probe.amp.tar
94547-7	SARS-CoV-2 (COVID19) IgG+IgM Ab [Presence] in Serum or Plasma by Immunoassay	SARS coronavirus 2 Ab.IgG+IgM	PrThr	Pt	Ser/Plas	Ord	IA
